id;legal_name;member_since;status;internal_notes
1;Strategist target;2019-09-19T22:10:59;ACTIVO;Libyan Dinar CSS
2;sensor;2019-09-20T12:51:13;SOLICITUD;Representative
3;Response Human;2019-09-20T10:42:30;SOLICITUD;Wisconsin Facilitator Incredible
4;reinvent;2019-09-19T23:09:54;APROBADO;mesh
5;Configuration UIC-Franc;2019-09-20T05:54:38;APROBADO;Zambian Kwacha intuitive
6;Bedfordshire;2019-09-19T22:32:07;VERIFICADO;Metal array France
7;redundant;2019-09-20T00:08:58;SOLICITUD;Sleek Beauty Auto Loan Account
8;deposit;2019-09-20T02:44:42;VERIFICADO;Tools California
9;North Dakota Garden;2019-09-20T08:25:04;VERIFICADO;generating
10;Computers Small Fresh Gloves back-end;2019-09-20T16:32:33;DECLINADO;composite Orchestrator Club
