id;type;title;legal_prose;signature;signature_content_type;contract_file;contract_file_content_type;qr_code;qr_code_content_type;digital_fingerprint;date_signed;expiration_date;status
1;TERMINOS_Y_CONDICIONES;blue scalable Car;bypassing Sleek Steel Shirt Rand Namibia Dollar;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Fresh incubate Agent;2019-09-20T03:46:58;2019-09-21;PAUSADO
2;SOLICITUD_DE_SERVICIO;synthesizing;silver;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;system;2019-09-20T19:46:00;2019-09-20;EMITIDO
3;TERMINOS_Y_CONDICIONES;Sausages Haven;Checking Account frictionless;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Rubber Awesome Frozen Mouse;2019-09-20T16:49:06;2019-09-20;ACTIVO
4;EMPLEADO;Investment Account cross-platform;Configuration;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;parse infrastructures Mobility;2019-09-20T00:46:22;2019-09-20;ACTIVO
5;SOLICITU_DE_MANIOBRA;Arizona synthesizing Fresh;override back-end hacking;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;open-source;2019-09-20T08:35:25;2019-09-20;PAUSADO
6;SOLICITUD_DE_SERVICIO;interface Central;intranet index;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Idaho customized;2019-09-20T15:09:34;2019-09-20;CANCELADO
7;TERMINOS_Y_CONDICIONES;Credit Card Account;Belize Dollar Bacon;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Investment Account Rwanda Customer;2019-09-20T05:37:43;2019-09-20;ACTIVO
8;EMPLEADO;application Cambridgeshire;scalable connecting Fantastic;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Creek Investment Account Buckinghamshire;2019-09-20T11:35:54;2019-09-20;EMITIDO
9;CONFIDENCIALIDAD;Persistent transparent Chips;front-end Intuitive vortals;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Communications;2019-09-20T20:52:28;2019-09-20;PAUSADO
10;DECISION_INTERNA;Personal Loan Account Awesome International;Lead alarm Cheese;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;maximize Practical Steel Fish;2019-09-20T22:03:11;2019-09-20;PAUSADO
