id;title;description;date;transport;price;currency;qr_code;qr_code_content_type
1;Mississippi embrace Developer;synthesize Idaho compress;2019-09-20;CAMION;42754;MXN;../fake-data/blob/hipster.png;image/png
2;red;withdrawal knowledge base Buckinghamshire;2019-09-20;CAMION;41038;USD;../fake-data/blob/hipster.png;image/png
3;Money Market Account;Salad Web virtual;2019-09-20;CAMION;80367;USD;../fake-data/blob/hipster.png;image/png
4;EXE projection Fresh;support Gorgeous;2019-09-20;FFCC;86073;MXN;../fake-data/blob/hipster.png;image/png
5;Iraq Bedfordshire;Concrete 24/7 Directives;2019-09-20;CAMION;70301;USD;../fake-data/blob/hipster.png;image/png
6;Exclusive Moroccan Dirham card;zero tolerance;2019-09-20;FFCC;50267;USD;../fake-data/blob/hipster.png;image/png
7;Canadian Dollar;Berkshire Designer;2019-09-20;CAMION;23763;USD;../fake-data/blob/hipster.png;image/png
8;Point Orchestrator;Solomon Islands Licensed;2019-09-20;CAMION;18651;USD;../fake-data/blob/hipster.png;image/png
9;open-source turn-key;Sausages;2019-09-20;FFCC;13752;USD;../fake-data/blob/hipster.png;image/png
10;Fiji Dollar Profound Bacon;Macao Equatorial Guinea Vision-oriented;2019-09-20;CAMION;33902;USD;../fake-data/blob/hipster.png;image/png
