id;title;price;currency;created;expires;type
1;monitor 1080p Checking Account;92630;USD;2019-09-20T04:09:13;2019-09-20;ADMINISTRATIVO
2;payment;59129;MXN;2019-09-20T15:21:51;2019-09-20;ADMINISTRATIVO
3;Networked Sleek Metal Table Small;43933;MXN;2019-09-20T03:03:23;2019-09-20;CEO
4;Concrete Investment Account Saint Lucia;20306;MXN;2019-09-20T10:10:55;2019-09-20;VP
5;Refined Squares;21844;USD;2019-09-20T03:21:21;2019-09-20;VIGILANTE
6;granular Direct contextually-based;64769;USD;2019-09-20T17:14:23;2019-09-21;CEO
7;Bedfordshire Bahamian Dollar;26941;MXN;2019-09-20T19:18:15;2019-09-20;INSPECTOR
8;Versatile Exclusive Moroccan Dirham;71227;USD;2019-09-20T00:36:32;2019-09-20;SUPERVISOR
9;paradigms Home;34507;USD;2019-09-20T13:48:28;2019-09-20;INSPECTOR
10;24/7 Re-contextualized cross-platform;47030;USD;2019-09-20T04:57:37;2019-09-20;VP
