id;title;description;quantity;price;unit;expedition_date;expiration_date;status;currency;approved_by;qr_code;qr_code_content_type
1;Books CSS Holy See (Vatican City State);Data Tasty Steel Pants Licensed Steel Shirt;3759;47987;TM;2019-09-19T19:58:31;2019-09-20;TERMINADO;MXN;SQL;../fake-data/blob/hipster.png;image/png
2;Persevering Gorgeous Steel Salad Associate;Fantastic whiteboard;12443;21825;TARIMA;2019-09-20T09:34:16;2019-09-19;CONFIRMADO;USD;quantifying Phased connecting;../fake-data/blob/hipster.png;image/png
3;Automated;architect;3673;18643;CONTENEDOR_20TM;2019-09-19T22:22:57;2019-09-20;PROCESANDO;MXN;Forward;../fake-data/blob/hipster.png;image/png
4;Pre-emptive Reduced;Kids Customer;86012;9148;M2;2019-09-20T16:29:05;2019-09-20;PROCESANDO;MXN;Computers Saint Helena Pound;../fake-data/blob/hipster.png;image/png
5;Borders;Integration;10946;68325;M2;2019-09-20T08:03:33;2019-09-20;EN_ESPERA;MXN;circuit;../fake-data/blob/hipster.png;image/png
6;optical deposit;Pizza Fish next-generation;23869;69747;KM;2019-09-20T15:47:12;2019-09-19;ACTIVO;MXN;Reduced Corporate;../fake-data/blob/hipster.png;image/png
7;connecting;generate Adaptive black;8409;61692;TM;2019-09-20T04:25:47;2019-09-20;EN_ESPERA;MXN;Wooden radical Beauty;../fake-data/blob/hipster.png;image/png
8;Facilitator 24/365;Sausages bypass;78880;93722;M2;2019-09-20T17:57:54;2019-09-19;ACTIVO;USD;SCSI;../fake-data/blob/hipster.png;image/png
9;Technician Architect calculate;Auto Loan Account;38361;2458;CONTENEDOR_40TM;2019-09-20T11:49:35;2019-09-20;EN_ESPERA;USD;Wells;../fake-data/blob/hipster.png;image/png
10;partnerships Terrace Hat;calculating conglomeration bypassing;77282;68049;TARIMA;2019-09-20T13:02:06;2019-09-19;ACTIVO;USD;methodologies;../fake-data/blob/hipster.png;image/png
